Model: Babelscape/wikineural-multilingual-ner              | time:  1.12s | success: 6
Model: oliverguhr/fullstop-punctuation-multilang-large     | time:  5.79s | success: 9
Model: Gherman/bert-base-NER-Russian                       | time:  1.24s | success: 2
Model: gpt-4o-mini                                 (cloud) | time: 33.34s | success: 19

====================================================================================================
Детализация:
====================================================================================================

Модель Babelscape/wikineural-multilingual-ner:

   1 | task: Простой текст: персона, организация, место    | correct:   1 | orig: Стив Джобс основал Apple в Купертино.                                            | res: PER: Стив Джобс; ORG: Apple; LOC: Купертино

   2 | task: Дата и место                                  | correct:   0 | orig: Конференция пройдёт 15 мая 2025 года в Санкт-Петербурге.                         | res: LOC: Санкт - Петербурге

   3 | task: Персона и организация                         | correct:   1 | orig: Генеральный директор Microsoft Сатья Наделла выступил на конференции.            | res: ORG: Microsoft; PER: Сатья Наделла

   4 | task: Геополитические сущности                      | correct:   0 | orig: Франция и Германия подписали договор в Брюсселе.                                 | res: LOC: Франция, Германия, Брюсселе

   5 | task: Денежная сумма и фонд                         | correct:   0 | orig: Стартап привлёк инвестиции в размере 10 миллионов долларов от Sequoia Capital.   | res: ORG: Sequoia Capital

   6 | task: Процент, страна и дата                        | correct:   0 | orig: Инфляция в России составила 7,5% в марте 2024 года.                              | res: LOC: России

   7 | task: Продукт и компания                            | correct:   1 | orig: Samsung выпустила новый смартфон Galaxy S24 Ultra.                               | res: ORG: Samsung; MISC: Galaxy S24 Ultra

   8 | task: Адрес                                         | correct:   1 | orig: Офис находится по адресу: г. Москва, ул. Тверская, д. 7.                         | res: LOC: Москва, Тверская

   9 | task: Фильм и год                                   | correct:   0 | orig: Фильм Интерстеллар получил Оскар в 2015 году.                                    | res: MISC: Интерстеллар, Оскар

  10 | task: Спортсмен и клуб                              | correct:   0 | orig: Лионель Месси играет за Интер Майами.                                            | res: PER: Месси; ORG: Интер Майами

  11 | task: Врач, пациент, лекарство                      | correct:   1 | orig: Доктор Иванова назначила Аспирин пациенту Петрову.                               | res: PER: Иванова, Аспирин, Петрову

  12 | task: Книга, автор, год                             | correct:   0 | orig: Роман Война и мир написал Лев Толстой в 1869 году.                               | res: MISC: Война и мир; PER: Лев Толстой

  13 | task: Технические сущности                          | correct:   0 | orig: Сервер на базе Intel Xeon размещён в дата-центре в Нидерландах.                  | res: MISC: Intel Xeon, Нидер

  14 | task: Событие и место                               | correct:   0 | orig: Олимпийские игры 2024 прошли в Париже.                                           | res: LOC: Париже

  15 | task: Email и телефон                               | correct:   0 | orig: Свяжитесь с нами по email support@example.com или телефону +7 495 123-45-67.     | res: MISC: example, com

  16 | task: Ник в соцсети                                 | correct:   0 | orig: Подпишитесь на @elonmusk в Твиттере.                                             | res: MISC: Твиттере

  17 | task: Номер рейса и города                          | correct:   0 | orig: Рейс SU1234 из Москвы в Нью-Йорк задержан.                                       | res: LOC: Москвы, Нью - Йорк

  18 | task: URL                                           | correct:   0 | orig: Подробнее на сайте https://example.com/news.                                     | res: MISC: https, example, com

  19 | task: Количество и валюта                           | correct:   0 | orig: Доставка 5 товаров на сумму 1500 рублей.                                         | res: MISC: рублей

  20 | task: Цитата и автор                                | correct:   1 | orig: Как сказал Альберт Эйнштейн: Воображение важнее знания.                          | res: PER: Альберт Эйнштейн

Модель oliverguhr/fullstop-punctuation-multilang-large:

   1 | task: Простой текст: персона, организация, место    | correct:   1 | orig: Стив Джобс основал Apple в Купертино.                                            | res: 0: Стив Джобс основал Apple в; .: Купертино.

   2 | task: Дата и место                                  | correct:   1 | orig: Конференция пройдёт 15 мая 2025 года в Санкт-Петербурге.                         | res: 0: Конференция пройдёт 15 мая 2025 года в; .: Санкт-Петербурге.

   3 | task: Персона и организация                         | correct:   0 | orig: Генеральный директор Microsoft Сатья Наделла выступил на конференции.            | res: 0: Генеральный директор, Сатья, выступил на; ,: Microsoft, Наделла; .: конференции.

   4 | task: Геополитические сущности                      | correct:   0 | orig: Франция и Германия подписали договор в Брюсселе.                                 | res: 0: Франция и Германия подписали договор в; .: Брюсселе.

   5 | task: Денежная сумма и фонд                         | correct:   0 | orig: Стартап привлёк инвестиции в размере 10 миллионов долларов от Sequoia Capital.   | res: 0: Стартап привлёк инвестиции в размере 10 миллионов долларов от Sequoia; .: Capital.

   6 | task: Процент, страна и дата                        | correct:   0 | orig: Инфляция в России составила 7,5% в марте 2024 года.                              | res: 0: Инфляция в России составила 7,5% в марте 2024; .: года.

   7 | task: Продукт и компания                            | correct:   0 | orig: Samsung выпустила новый смартфон Galaxy S24 Ultra.                               | res: 0: Samsung выпустила новый смартфон Galaxy S24; .: Ultra.

   8 | task: Адрес                                         | correct:   1 | orig: Офис находится по адресу: г. Москва, ул. Тверская, д. 7.                         | res: 0: Офис находится по адресу: г. Москва, ул. Тверская, д.; ,: ,; .: 7.

   9 | task: Фильм и год                                   | correct:   1 | orig: Фильм Интерстеллар получил Оскар в 2015 году.                                    | res: 0: Фильм Интерстеллар получил Оскар в 2015; .: году.

  10 | task: Спортсмен и клуб                              | correct:   0 | orig: Лионель Месси играет за Интер Майами.                                            | res: 0: Лионель Месси играет за Интер; .: Майами.

  11 | task: Врач, пациент, лекарство                      | correct:   1 | orig: Доктор Иванова назначила Аспирин пациенту Петрову.                               | res: 0: Доктор Иванова назначила Аспирин пациенту; .: Петрову.

  12 | task: Книга, автор, год                             | correct:   1 | orig: Роман Война и мир написал Лев Толстой в 1869 году.                               | res: 0: Роман Война и мир написал Лев Толстой в 1869; .: году.

  13 | task: Технические сущности                          | correct:   0 | orig: Сервер на базе Intel Xeon размещён в дата-центре в Нидерландах.                  | res: 0: Сервер на базе Intel Xeon размещён в дата-центре в; .: Нидерландах.

  14 | task: Событие и место                               | correct:   1 | orig: Олимпийские игры 2024 прошли в Париже.                                           | res: 0: Олимпийские игры 2024 прошли в; .: Париже.

  15 | task: Email и телефон                               | correct:   0 | orig: Свяжитесь с нами по email support@example.com или телефону +7 495 123-45-67.     | res: 0: Свяжитесь с нами по, support@example.com или телефону +7 495; :: email; .: 123-45-67.

  16 | task: Ник в соцсети                                 | correct:   1 | orig: Подпишитесь на @elonmusk в Твиттере.                                             | res: 0: Подпишитесь на @elonmusk в; .: Твиттере.

  17 | task: Номер рейса и города                          | correct:   0 | orig: Рейс SU1234 из Москвы в Нью-Йорк задержан.                                       | res: 0: Рейс SU1234 из Москвы в Нью-Йорк; .: задержан.

  18 | task: URL                                           | correct:   0 | orig: Подробнее на сайте https://example.com/news.                                     | res: 0: Подробнее на сайте https://example.com/; .: news.

  19 | task: Количество и валюта                           | correct:   0 | orig: Доставка 5 товаров на сумму 1500 рублей.                                         | res: 0: Доставка 5 товаров на сумму 1500; .: рублей.

  20 | task: Цитата и автор                                | correct:   1 | orig: Как сказал Альберт Эйнштейн: Воображение важнее знания.                          | res: 0: Как сказал Альберт Эйнштейн: Воображение важнее; .: знания.

Модель Gherman/bert-base-NER-Russian:

   1 | task: Простой текст: персона, организация, место    | correct:   0 | orig: Стив Джобс основал Apple в Купертино.                                            | res: FIRST_NAME: Стив; LAST_NAME: Джобс; CITY: Купертино

   2 | task: Дата и место                                  | correct:   0 | orig: Конференция пройдёт 15 мая 2025 года в Санкт-Петербурге.                         | res: CITY: Санкт, -, Петербурге

   3 | task: Персона и организация                         | correct:   0 | orig: Генеральный директор Microsoft Сатья Наделла выступил на конференции.            | res: FIRST_NAME: Сатья; LAST_NAME: Наделла

   4 | task: Геополитические сущности                      | correct:   0 | orig: Франция и Германия подписали договор в Брюсселе.                                 | res: COUNTRY: Франция, Германия; CITY: Брюсселе

   5 | task: Денежная сумма и фонд                         | correct:   0 | orig: Стартап привлёк инвестиции в размере 10 миллионов долларов от Sequoia Capital.   | res: LAST_NAME: Стартап

   6 | task: Процент, страна и дата                        | correct:   0 | orig: Инфляция в России составила 7,5% в марте 2024 года.                              | res: COUNTRY: России

   7 | task: Продукт и компания                            | correct:   0 | orig: Samsung выпустила новый смартфон Galaxy S24 Ultra.                               | res: 

   8 | task: Адрес                                         | correct:   1 | orig: Офис находится по адресу: г. Москва, ул. Тверская, д. 7.                         | res: CITY: Москва; STREET: Тверская; HOUSE: д., 7

   9 | task: Фильм и год                                   | correct:   0 | orig: Фильм Интерстеллар получил Оскар в 2015 году.                                    | res: 

  10 | task: Спортсмен и клуб                              | correct:   0 | orig: Лионель Месси играет за Интер Майами.                                            | res: FIRST_NAME: Лионель; LAST_NAME: Месси; CITY: Майами

  11 | task: Врач, пациент, лекарство                      | correct:   1 | orig: Доктор Иванова назначила Аспирин пациенту Петрову.                               | res: LAST_NAME: Иванова, Аспирин, Петров

